
================================================================================
Logging started at: 2025-11-29 16:08:19.461421
Log file: C:\Users\yasmi\OneDrive\Desktop\Uni - Master's\Fall 2025\MLR 570\Motif-Aware-Temporal-GNNs-for-Anti-Money-Laundering-Detection\logs\HI-Small_Trans\seed1337_experiment2\graphsage\seed1337_experiment2_20251129_160819.txt
================================================================================

[INFO] Logging to: C:\Users\yasmi\OneDrive\Desktop\Uni - Master's\Fall 2025\MLR 570\Motif-Aware-Temporal-GNNs-for-Anti-Money-Laundering-Detection\logs\HI-Small_Trans\seed1337_experiment2\graphsage\seed1337_experiment2_20251129_160819.txt
================================================================================
EXPERIMENT CONFIG SUMMARY
================================================================================

[DATASET]
  Name:       HI-Small_Trans
  Theory:     baseline
  Intensity:  None

[MODEL]
  GraphSAGE
  Hidden dim: 128

[PATHS]
  Graphs:     C:\Users\yasmi\OneDrive\Desktop\Uni - Master's\Fall 2025\MLR 570\Motif-Aware-Temporal-GNNs-for-Anti-Money-Laundering-Detection\graphs\HI-Small_Trans
  Splits:     C:\Users\yasmi\OneDrive\Desktop\Uni - Master's\Fall 2025\MLR 570\Motif-Aware-Temporal-GNNs-for-Anti-Money-Laundering-Detection\splits\HI-Small_Trans
  Results:    C:\Users\yasmi\OneDrive\Desktop\Uni - Master's\Fall 2025\MLR 570\Motif-Aware-Temporal-GNNs-for-Anti-Money-Laundering-Detection\results\HI-Small_Trans\seed1337_experiment2\graphsage
  Logs:       C:\Users\yasmi\OneDrive\Desktop\Uni - Master's\Fall 2025\MLR 570\Motif-Aware-Temporal-GNNs-for-Anti-Money-Laundering-Detection\logs\HI-Small_Trans\seed1337_experiment2\graphsage
================================================================================

[DEVICE] cuda


======================================================================
GPU Mini-Batch Training (GraphSAGE Stable)
======================================================================
Train batch size: 8192
Eval batch size:  16384
Mixed Precision:  False (disabled)
Device:           cuda
======================================================================

Loading graph tensors...
Nodes: 515,088, Edges: 5,078,345
Node features: 12, Edge features: 32
Train: 3,047,007, Val: 1,015,669, Test: 1,015,669
pos_weight: 100.00

Starting training for 350 epochs...

Epoch 001 | loss=30.0113 | val_F1=0.0332 | val_AUPR=0.0021 | time=49.44s
Epoch 002 | loss=8.2375 | val_F1=0.0319 | val_AUPR=0.0032 | time=47.95s
Epoch 003 | loss=3.6966 | val_F1=0.0307 | val_AUPR=0.0027 | time=47.98s
Epoch 004 | loss=1.3590 | val_F1=0.0040 | val_AUPR=0.0021 | time=48.74s
Epoch 005 | loss=0.6753 | val_F1=0.0031 | val_AUPR=0.0012 | time=49.26s
Epoch 006 | loss=0.5347 | val_F1=0.0305 | val_AUPR=0.0032 | time=49.00s
Epoch 007 | loss=0.4729 | val_F1=0.0125 | val_AUPR=0.0023 | time=47.90s
Epoch 008 | loss=0.4650 | val_F1=0.0031 | val_AUPR=0.0013 | time=49.28s
Epoch 009 | loss=0.4353 | val_F1=0.0229 | val_AUPR=0.0031 | time=49.76s
Epoch 010 | loss=0.4293 | val_F1=0.0031 | val_AUPR=0.0013 | time=49.54s
Epoch 011 | loss=0.4277 | val_F1=0.0302 | val_AUPR=0.0034 | time=49.67s
Epoch 012 | loss=0.4212 | val_F1=0.0218 | val_AUPR=0.0031 | time=49.52s
Epoch 013 | loss=0.4144 | val_F1=0.0237 | val_AUPR=0.0033 | time=48.74s
Epoch 014 | loss=0.4085 | val_F1=0.0226 | val_AUPR=0.0033 | time=49.70s
Epoch 015 | loss=0.4052 | val_F1=0.0036 | val_AUPR=0.0015 | time=49.72s
Epoch 016 | loss=0.3957 | val_F1=0.0151 | val_AUPR=0.0027 | time=49.32s
Epoch 017 | loss=0.3934 | val_F1=0.0038 | val_AUPR=0.0017 | time=48.95s
Epoch 018 | loss=0.3810 | val_F1=0.0038 | val_AUPR=0.0016 | time=48.33s
Epoch 019 | loss=0.3850 | val_F1=0.0306 | val_AUPR=0.0037 | time=49.00s
Epoch 020 | loss=0.3692 | val_F1=0.0093 | val_AUPR=0.0021 | time=49.82s
Epoch 021 | loss=0.3769 | val_F1=0.0241 | val_AUPR=0.0030 | time=49.59s
Epoch 022 | loss=0.3688 | val_F1=0.0304 | val_AUPR=0.0043 | time=49.28s
Epoch 023 | loss=0.3761 | val_F1=0.0452 | val_AUPR=0.0063 | time=49.47s
Epoch 024 | loss=0.3594 | val_F1=0.0510 | val_AUPR=0.0095 | time=47.99s
Epoch 025 | loss=0.3456 | val_F1=0.0567 | val_AUPR=0.0123 | time=48.31s
Epoch 026 | loss=0.3396 | val_F1=0.0477 | val_AUPR=0.0081 | time=48.99s
Epoch 027 | loss=0.3392 | val_F1=0.0609 | val_AUPR=0.0153 | time=49.36s
Epoch 028 | loss=0.3338 | val_F1=0.0567 | val_AUPR=0.0122 | time=49.89s
Epoch 029 | loss=0.3226 | val_F1=0.0698 | val_AUPR=0.0200 | time=48.72s
Epoch 030 | loss=0.3278 | val_F1=0.0673 | val_AUPR=0.0154 | time=49.27s
Epoch 031 | loss=0.3161 | val_F1=0.0788 | val_AUPR=0.0226 | time=48.90s
Epoch 032 | loss=0.3143 | val_F1=0.0701 | val_AUPR=0.0208 | time=49.30s
Epoch 033 | loss=0.3139 | val_F1=0.0771 | val_AUPR=0.0281 | time=48.32s
Epoch 034 | loss=0.3102 | val_F1=0.0799 | val_AUPR=0.0295 | time=49.55s
Epoch 035 | loss=0.3010 | val_F1=0.0925 | val_AUPR=0.0313 | time=49.17s
Epoch 036 | loss=0.3024 | val_F1=0.0809 | val_AUPR=0.0187 | time=49.61s
Epoch 037 | loss=0.3097 | val_F1=0.0924 | val_AUPR=0.0352 | time=49.08s
Epoch 038 | loss=0.3074 | val_F1=0.0910 | val_AUPR=0.0371 | time=49.64s
Epoch 039 | loss=0.2883 | val_F1=0.0895 | val_AUPR=0.0306 | time=49.26s
Epoch 040 | loss=0.2841 | val_F1=0.0913 | val_AUPR=0.0323 | time=47.85s
Epoch 041 | loss=0.2887 | val_F1=0.0944 | val_AUPR=0.0360 | time=48.20s
Epoch 042 | loss=0.2776 | val_F1=0.0963 | val_AUPR=0.0372 | time=49.39s
Epoch 043 | loss=0.2827 | val_F1=0.1066 | val_AUPR=0.0470 | time=49.76s
Epoch 044 | loss=0.2787 | val_F1=0.0980 | val_AUPR=0.0375 | time=49.44s
Epoch 045 | loss=0.2915 | val_F1=0.0887 | val_AUPR=0.0318 | time=49.57s
Epoch 046 | loss=0.2824 | val_F1=0.0972 | val_AUPR=0.0379 | time=49.22s
Epoch 047 | loss=0.2851 | val_F1=0.0957 | val_AUPR=0.0399 | time=49.37s
Epoch 048 | loss=0.2698 | val_F1=0.1088 | val_AUPR=0.0457 | time=50.27s
Epoch 049 | loss=0.2659 | val_F1=0.1084 | val_AUPR=0.0427 | time=48.89s
Epoch 050 | loss=0.2614 | val_F1=0.1201 | val_AUPR=0.0512 | time=49.37s
Epoch 051 | loss=0.2611 | val_F1=0.1189 | val_AUPR=0.0542 | time=49.73s
Epoch 052 | loss=0.2593 | val_F1=0.1447 | val_AUPR=0.0626 | time=48.19s
Epoch 053 | loss=0.2625 | val_F1=0.1394 | val_AUPR=0.0689 | time=48.27s
Epoch 054 | loss=0.2546 | val_F1=0.1592 | val_AUPR=0.0827 | time=49.20s
Epoch 055 | loss=0.2438 | val_F1=0.1571 | val_AUPR=0.0807 | time=50.82s
Epoch 056 | loss=0.2401 | val_F1=0.1774 | val_AUPR=0.0954 | time=48.30s
Epoch 057 | loss=0.2315 | val_F1=0.1847 | val_AUPR=0.0932 | time=48.63s
Epoch 058 | loss=0.2243 | val_F1=0.1964 | val_AUPR=0.1083 | time=48.90s
