
================================================================================
Logging started at: 2026-02-02 14:25:09.409202
Log file: C:\Users\yasmi\OneDrive\Desktop\Uni - Master's\Fall 2025\MLR 570\Motif-Aware-Temporal-GNNs-for-Anti-Money-Laundering-Detection\logs\HI-Small_Trans\seed4_seed4_experiment\graphsage\seed4_seed4_experiment_20260202_142509.txt
================================================================================

[INFO] Logging to: C:\Users\yasmi\OneDrive\Desktop\Uni - Master's\Fall 2025\MLR 570\Motif-Aware-Temporal-GNNs-for-Anti-Money-Laundering-Detection\logs\HI-Small_Trans\seed4_seed4_experiment\graphsage\seed4_seed4_experiment_20260202_142509.txt
================================================================================
EXPERIMENT CONFIG SUMMARY
================================================================================

[DATASET]
  Name:       HI-Small_Trans
  Theory:     baseline
  Intensity:  None

[MODEL]
  GraphSAGE
  Hidden dim: 128

[PATHS]
  Graphs:     C:\Users\yasmi\OneDrive\Desktop\Uni - Master's\Fall 2025\MLR 570\Motif-Aware-Temporal-GNNs-for-Anti-Money-Laundering-Detection\graphs\HI-Small_Trans
  Splits:     C:\Users\yasmi\OneDrive\Desktop\Uni - Master's\Fall 2025\MLR 570\Motif-Aware-Temporal-GNNs-for-Anti-Money-Laundering-Detection\splits\HI-Small_Trans
  Results:    C:\Users\yasmi\OneDrive\Desktop\Uni - Master's\Fall 2025\MLR 570\Motif-Aware-Temporal-GNNs-for-Anti-Money-Laundering-Detection\results\HI-Small_Trans\seed4_seed4_experiment\graphsage
  Logs:       C:\Users\yasmi\OneDrive\Desktop\Uni - Master's\Fall 2025\MLR 570\Motif-Aware-Temporal-GNNs-for-Anti-Money-Laundering-Detection\logs\HI-Small_Trans\seed4_seed4_experiment\graphsage
================================================================================

[DEVICE] cuda


======================================================================
GPU Mini-Batch Training (GraphSAGE Stable)
======================================================================
Train batch size: 8192
Eval batch size:  16384
Mixed Precision:  False (disabled)
Device:           cuda
======================================================================

Loading graph tensors...
Nodes: 515,088, Edges: 5,078,345
Node features: 12, Edge features: 32
Train: 3,047,007, Val: 1,015,669, Test: 1,015,669
pos_weight: 100.00

Starting training for 350 epochs...

Epoch 001 | loss=32.5230 | val_F1=0.0226 | val_AUPR=0.0015 | time=53.03s
Epoch 002 | loss=8.5332 | val_F1=0.0030 | val_AUPR=0.0010 | time=57.33s
Epoch 003 | loss=3.7328 | val_F1=0.0322 | val_AUPR=0.0029 | time=67.77s
Epoch 004 | loss=1.8366 | val_F1=0.0047 | val_AUPR=0.0013 | time=64.43s
Epoch 005 | loss=0.9672 | val_F1=0.0377 | val_AUPR=0.0042 | time=64.09s
Epoch 006 | loss=0.6887 | val_F1=0.0036 | val_AUPR=0.0012 | time=60.76s
Epoch 007 | loss=0.5510 | val_F1=0.0037 | val_AUPR=0.0013 | time=69.01s
Epoch 008 | loss=0.4910 | val_F1=0.0031 | val_AUPR=0.0013 | time=72.62s
Epoch 009 | loss=0.4595 | val_F1=0.0083 | val_AUPR=0.0016 | time=63.52s
Epoch 010 | loss=0.4359 | val_F1=0.0032 | val_AUPR=0.0014 | time=64.81s
Epoch 011 | loss=0.4338 | val_F1=0.0258 | val_AUPR=0.0030 | time=61.09s
Epoch 012 | loss=0.4169 | val_F1=0.0137 | val_AUPR=0.0023 | time=64.36s
Epoch 013 | loss=0.4032 | val_F1=0.0033 | val_AUPR=0.0015 | time=61.12s
Epoch 014 | loss=0.3959 | val_F1=0.0347 | val_AUPR=0.0040 | time=62.72s
Epoch 015 | loss=0.3898 | val_F1=0.0355 | val_AUPR=0.0040 | time=64.29s
Epoch 016 | loss=0.3787 | val_F1=0.0258 | val_AUPR=0.0034 | time=63.68s
Epoch 017 | loss=0.3819 | val_F1=0.0211 | val_AUPR=0.0029 | time=63.11s
Epoch 018 | loss=0.3674 | val_F1=0.0342 | val_AUPR=0.0045 | time=62.86s
Epoch 019 | loss=0.3712 | val_F1=0.0250 | val_AUPR=0.0039 | time=62.28s
Epoch 020 | loss=0.3589 | val_F1=0.0405 | val_AUPR=0.0064 | time=63.66s
Epoch 021 | loss=0.3497 | val_F1=0.0409 | val_AUPR=0.0068 | time=61.87s
Epoch 022 | loss=0.3456 | val_F1=0.0499 | val_AUPR=0.0086 | time=68.16s
Epoch 023 | loss=0.3424 | val_F1=0.0461 | val_AUPR=0.0081 | time=68.76s
Epoch 024 | loss=0.3518 | val_F1=0.0501 | val_AUPR=0.0089 | time=61.93s
Epoch 025 | loss=0.3270 | val_F1=0.0540 | val_AUPR=0.0122 | time=62.54s
Epoch 026 | loss=0.3284 | val_F1=0.0559 | val_AUPR=0.0149 | time=62.26s
Epoch 027 | loss=0.3355 | val_F1=0.0542 | val_AUPR=0.0120 | time=62.28s
Epoch 028 | loss=0.3151 | val_F1=0.0699 | val_AUPR=0.0194 | time=62.29s
